TEST #,BURNED AREA,CASUALTIES,,,,,
1,17.36%,6,,,,,
2,10.80%,3,,,,,
3,7.80%,0,,,,,
4,0.00%,0,,,,,
5,30.80%,8,,,,,
6,17.80%,4,,,,,
7,17.20%,4,,,,,
8,23.60%,4,,,,,
9,23.00%,2,,,,,
10,2.90%,0,,,,,
11,12.70%,5,,,,,
12,5.00%,2,,,,,
13,21.20%,6,,,,,
14,22.80%,4,,,,,
15,10.80%,3,,,,,
16,14.20%,3,,,,,
17,24.70%,2,,,,,
18,14.70%,2,,,,,
19,22.10%,3,,,,,
20,7.50%,0,,,,,
21,37.60%,7,,,,,
22,5.20%,0,,,,,
23,0.00%,0,,,,,
24,37.20%,10,,,,,
25,8.80%,3,,,,,
26,11.90%,6,,,,,
27,4.00%,1,,,,,
28,8.60%,3,,,,,
29,17.80%,4,,,,,
30,4.70%,2,,,,,
