TEST #,BURNED AREA,CASUALTIES,,,,,
1,14.10%,2,,,,,
2,9.80%,2,,,,,
3,36.30%,6,,,,,
4,5.90%,0,,,,,
5,35.50%,9,,,,,
6,24.71%,6,,,,,
7,7.70%,2,,,,,
8,10.60%,1,,,,,
9,16.50%,5,,,,,
10,5.10%,0,,,,,
11,13.40%,2,,,,,
12,21.70%,2,,,,,
13,23.80%,3,,,,,
14,26.10%,6,,,,,
15,36.10%,8,,,,,
16,34.20%,9,,,,,
17,17.90%,5,,,,,
18,28.10%,7,,,,,
19,17.80%,6,,,,,
20,19.10%,4,,,,,
21,54.80%,15,,,,,
22,34.80%,6,,,,,
23,26.40%,5,,,,,
24,23.00%,5,,,,,
25,27.60%,5,,,,,
26,22.40%,7,,,,,
27,22.80%,4,,,,,
28,22.50%,8,,,,,
29,37.00%,8,,,,,
30,41.60%,9,,,,,
